case_id,zone_mechanical_state,structural_trajectory,trajectory_confidence,coh_label,pred_label,b12v2_outcome,correct,visit_count,breakdown_visit_count,damage_visit_count,growth_visit_count,health_last_visit,health_slope,omega_total,omega_max,visit_N_result,visit_N_omega,visit_N_health
CASE_00301,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,73.083713,5.160636,5551.280026,2821.258412,GROWTH,2711.287844,79.0
CASE_00305,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,61.279776,2.667447,6347.412674,2839.856185,GROWTH,3073.045121,79.0
CASE_00318,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,102.346535,4.32045,18303.463144,6808.494797,GROWTH,7316.283087,109.0
CASE_00319,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,70.542857,3.403764,11062.803792,2606.858095,GROWTH,2670.62695,79.0
CASE_00344,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,73.534653,4.490474,7449.867681,1975.099046,GROWTH,1745.696493,79.0
CASE_00362,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,66.899814,2.733451,8419.510276,2401.410564,GROWTH,2374.707967,79.0
CASE_00386,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,71.914286,5.191768,10625.244388,3461.646137,GROWTH,3751.650796,74.598113
CASE_00388,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,69.117647,3.319914,8119.382475,1994.498976,GROWTH,2270.567617,79.0
CASE_00395,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,16.296048,-3.581951,6337.115556,3212.240881,BREAKDOWN,2943.254529,19.814666
CASE_00404,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,74.325568,3.649786,9648.173265,1916.072903,GROWTH,842.345947,79.0
CASE_00405,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,112.866973,3.799614,24293.797307,4250.022725,GROWTH,2059.304135,116.0
CASE_00430,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,66.307692,4.384615,7221.615975,3368.194419,GROWTH,3517.719668,79.0
CASE_00436,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,18.932047,-0.782164,8524.393415,4982.61865,BREAKDOWN,5575.740965,16.731852
CASE_00441,RECOVERED_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,97.465347,3.236,7150.273656,3744.293665,GROWTH,3773.682273,116.0
CASE_00447,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,6,0,5,0,17.106215,-0.655375,13802.256128,3104.804011,BREAKDOWN,1468.544788,17.61698
CASE_00448,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,7,0,0,7,70.145631,2.13285,9947.22051,2392.444249,GROWTH,2748.063994,79.0
