metric,value
run_utc,2026-06-16 20:22 UTC
architecture,b12v2_architecture.md
dataset_start,2026-04-30
dataset_end,2026-06-02
total_cases,793
multi_visit_eligible,3011
single_visit_excluded,1848
visit_N_hold,1678
visit_N_fail,1226
visit_N_ambiguous,107
hold_pred_from_prior,1411
fail_pred_from_prior,1059
uncertain_excluded,32
no_prediction_excluded,509
evaluable_population,2441
baserate_hold,0.5735
baserate_fail,0.4265
naive_baseline,0.5735
overall_accuracy,0.9877
lift_vs_baseline,0.4142
hold_precision,0.9928
hold_recall,0.9857
hold_f1,0.9892
hold_lift,0.4193
false_holds,10
fail_precision,0.9810
fail_recall,0.9904
fail_f1,0.9857
fail_lift,0.5545
false_fails,20
physics_sigma_x_pen,0.9991
physics_sigma_barre_rcl,0.0705
physics_sigma_barre_mem,0.5195
leakage_status,PASS
integrity_status,PASS
consistency_status,PASS
evaluation_design,penultimate_state_N_minus_1
circular_validation,NONE
zone_mode,formation
