case_id,zone_mechanical_state,structural_trajectory,trajectory_confidence,coh_label,pred_label,b12v2_outcome,correct,visit_count,breakdown_visit_count,damage_visit_count,growth_visit_count,health_last_visit,health_slope,omega_total,omega_max,visit_N_result,visit_N_omega,visit_N_health
CASE_12092,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,HOLD,False,4,0,2,0,14.351343,-2.386224,14716.747468,4489.281585,RECLAIM,5184.062921,15.206596
CASE_12093,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,71.941176,8.030117,6685.223225,2347.044702,GROWTH,2628.997808,77.556185
CASE_12114,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,13.284484,-5.0355,16723.77327,9033.471474,BREAKDOWN,8482.390131,12.506918
CASE_12139,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,1,0,14.959235,-2.466585,11058.290785,4798.745473,BREAKDOWN,2909.064076,18.534838
CASE_12142,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,105.470588,5.893802,11825.576605,6171.160789,GROWTH,8141.673346,106.893494
CASE_12157,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,16.166247,-2.36065,9471.504855,4867.318595,BREAKDOWN,4032.739879,17.462075
CASE_12159,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,19.050112,-1.012738,10936.133415,5109.498669,BREAKDOWN,4781.365708,11.547329
CASE_12175,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,60.672587,4.420413,3358.136268,2615.17365,GROWTH,2665.492701,79.0
CASE_12182,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,3,0,2,0,15.598832,-1.258876,12499.209252,4497.416608,BREAKDOWN,4038.267521,18.601109
CASE_12187,ELASTIC_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,75.910891,2.851485,4582.541822,2386.763896,GROWTH,1122.992819,79.0
CASE_12190,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,14.900892,-1.889548,5924.883037,3128.047486,BREAKDOWN,3089.89566,17.493978
CASE_12193,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,105.477064,8.425173,11084.990174,4246.677072,GROWTH,1517.981708,109.0
CASE_12196,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,18.385688,0.079635,6194.281258,3391.703027,BREAKDOWN,2094.891359,17.794454
CASE_12199,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,75.459016,18.885246,4411.715642,2297.902017,GROWTH,625.493361,79.0
CASE_12201,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,3,0,3,0,15.698335,-2.72854,7256.139334,2578.090634,BREAKDOWN,3529.152809,12.098945
CASE_12202,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,94.655602,1.735257,9904.054858,3462.454443,GROWTH,5066.865862,109.0
CASE_12203,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,74.068826,8.566471,4172.690492,1664.499933,GROWTH,1051.195645,79.0
CASE_12204,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,2,0,16.329045,-1.239896,9540.05324,3475.591483,BREAKDOWN,2938.15417,16.927233
CASE_12222,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,104.615385,5.192681,22868.588298,7143.805107,GROWTH,7217.098597,109.0
CASE_12223,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,104.058824,5.317647,22795.706171,7945.129629,GROWTH,9730.327235,109.0
CASE_12242,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,2,0,0,16.115607,-0.350964,14024.315673,7155.870347,BREAKDOWN,6150.300678,11.545289
CASE_12244,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,5,0,5,0,13.156723,-1.725619,24374.694057,5499.755117,BREAKDOWN,4219.546057,18.912627
CASE_12255,RECOVERED_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,97.582524,5.906882,14395.457416,7528.995861,GROWTH,8165.487418,109.0
CASE_12269,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,74.91613,11.709866,4940.871491,2530.989996,GROWTH,1482.192611,79.0
CASE_12282,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,16.753247,-1.004505,14107.012505,5032.87399,BREAKDOWN,3616.950089,17.004211
CASE_12284,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,63.856032,3.002273,6737.49281,2409.437615,GROWTH,2279.449039,78.839253
CASE_12287,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,15.819718,-3.018117,7968.443117,4089.236291,BREAKDOWN,4239.350053,14.022286
CASE_12289,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,68.606299,11.234449,6378.444337,3311.706327,GROWTH,2671.633862,79.0
CASE_12300,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,19.456638,-0.453456,10531.559511,4969.130564,BREAKDOWN,4802.142343,17.420176
CASE_12305,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,101.470588,6.705882,14960.081126,7149.215295,GROWTH,7679.700001,109.0
CASE_12317,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,72.307692,4.60495,11061.39489,2996.791026,GROWTH,2851.041786,79.0
CASE_12340,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,72.001785,11.536438,3646.769777,1920.620224,GROWTH,2021.51159,78.294042
CASE_12342,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,2,1,0,16.269146,-2.028855,8096.457801,2822.959951,BREAKDOWN,595.123177,18.253655
CASE_12343,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,112.910891,4.633663,12236.552362,3240.585509,GROWTH,525.785589,116.0
CASE_12364,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,3,0,13.820679,-2.010252,32859.705881,10679.31497,BREAKDOWN,11249.812059,13.584469
CASE_12372,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,109.475728,4.986408,15703.694816,4921.062987,GROWTH,3495.240649,116.0
CASE_12378,FATIGUE_ZONE,STRENGTHENING,MEDIUM,MODERATE,HOLD,HOLD,True,2,0,0,2,64.419975,6.419975,6228.521692,4163.532734,GROWTH,3855.435879,79.0
CASE_12397,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,16.657065,-1.849777,7833.558104,3923.080614,BREAKDOWN,3987.928135,17.412487
CASE_12420,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,107.384615,6.138461,7891.946965,3975.128285,GROWTH,1363.568147,109.0
CASE_12421,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,3,2,0,17.006117,-1.171995,9894.389308,3498.229354,BREAKDOWN,2421.480785,9.953311
CASE_12422,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,74.384615,4.76606,6514.942554,2540.616616,GROWTH,1758.6195,77.881553
CASE_12430,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,3,2,0,17.77635,-0.53374,15091.056361,4318.290816,BREAKDOWN,819.561588,19.114299
CASE_12446,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,18.36253,-1.776238,3787.84893,2509.731387,BREAKDOWN,2691.617987,11.949402
CASE_12449,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,2,0,0,15.237333,-1.464784,5388.439485,2796.894286,BREAKDOWN,2316.231148,19.274561
CASE_12460,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,2,1,0,18.396498,-0.790788,12578.96431,5658.835823,BREAKDOWN,1313.644913,19.222203
CASE_12461,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,3,0,3,0,14.319596,-2.852195,6605.489733,2289.037654,BREAKDOWN,2241.360929,15.519131
CASE_12463,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,6,0,0,6,107.352941,4.033613,21017.082692,4976.679508,GROWTH,1346.439332,109.0
CASE_12481,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,4,0,4,0,11.511892,-2.402446,9710.039236,2769.940748,BREAKDOWN,1616.572847,13.489676
CASE_12485,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,7,0,0,7,76.056604,3.729736,9454.021566,1900.681026,GROWTH,109.676312,79.0
CASE_12522,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,3,0,3,0,13.079571,-3.263372,16473.1796,6703.566399,BREAKDOWN,5608.075856,14.262873
CASE_12523,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,72.917613,5.553942,6880.667575,2438.622115,GROWTH,2278.499631,79.0
CASE_12529,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,72.232434,3.956043,13973.180672,3989.891179,GROWTH,1994.540264,78.882446
CASE_12538,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,19.047048,-0.712553,9465.18096,5046.877431,BREAKDOWN,4915.232513,18.085111
CASE_12539,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,2,0,19.466803,-1.042165,8380.484476,5321.243441,BREAKDOWN,5104.678087,17.968367
CASE_12556,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,74.960396,2.861802,19751.320109,5001.840024,GROWTH,5590.440949,77.078475
CASE_12557,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,74.058824,3.885815,13748.498877,4148.487886,GROWTH,4774.369426,76.919864
