close,volume,delta,velocity,rvi,adaptive_window,price_zone,volume_zone,delta_zone,velocity_zone,renko_direction,renko_event,renko_bricks
80519.99,9.36644,-8.60944,2.466800105346326,5.838059195672173,10,TRANSITION_ZONE,EXTREME_HIGH_ZONE,EXTREME_LOW_ZONE,EXTREME_HIGH_ZONE,DOWN,COMPRESSION,0
80540.01,1.65586,1.64466,0.3983305268222276,0.8928228989549516,20,NORMAL_ZONE,NORMAL_ZONE,TRANSITION_ZONE,NORMAL_ZONE,UP,REVERSAL,1
80556.33,1.88233,-1.1822499999999998,0.10260724993186156,0.2841795076529112,50,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,UP,CONTINUATION,2
80536.96,1.61644,-1.59208,0.28589317297488503,0.7549750324451845,20,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,REVERSAL,1
80519.99,0.7966500000000001,-0.76461,0.08052663499444052,0.2125027863078239,50,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,2
80499.57,0.8249000000000001,-0.81136,0.2735079575596817,0.7637489661906067,20,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,2
80499.24,7.05045,-6.20805,0.6226112681031437,1.5958958507558105,10,TRANSITION_ZONE,TRANSITION_ZONE,TRANSITION_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
80487.99,3.8772800000000003,-2.6625,0.23535753308243293,0.6260907562723655,20,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,1
80480.0,0.8652,-0.25384,0.0463392426758074,0.12537371235298905,50,LOW_STATISTICAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,1
80460.0,0.89995,-0.81105,0.05574516848364718,0.15542457288145106,50,EXTREME_LOW_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,2
80444.72,3.39732,-3.39732,4.584777327935223,6.734028279965361,10,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,EXTREME_HIGH_ZONE,DOWN,CONTINUATION,1
80436.39,0.6064700000000001,-0.56359,0.4211597222222223,0.6036260712758693,20,LOW_STATISTICAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,1
80437.07,0.85389,0.11953000000000003,0.19830236878773805,0.2823902078719301,50,EXTREME_LOW_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
80436.39,0.72785,-0.09599000000000002,0.19378328008519702,0.27222920694159275,50,LOW_STATISTICAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
80429.2,1.51449,-1.47139,0.3080109823062843,0.5523478960141864,20,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,1
80416.19,1.17211,-1.11463,0.18679043824701194,0.34429547940961025,50,LOW_STATISTICAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,1
80421.02,0.9003199999999999,-0.54872,0.08921125644074512,0.16472631182445985,50,LOW_STATISTICAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
80414.93,1.93255,-1.30593,0.2619341284901057,0.48518787946924885,20,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
80400.01,1.6933799999999999,-1.69138,4.866034482758621,5.519028083957241,10,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,HIGH_STATISTICAL_ZONE,DOWN,CONTINUATION,2
80394.94,2.64423,-2.55045,0.7369648829431438,0.8056133810570097,10,TRANSITION_ZONE,TRANSITION_ZONE,TRANSITION_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
80384.46,0.77408,-0.77368,64.50666666666666,11.775728846104712,10,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,EXTREME_HIGH_ZONE,DOWN,CONTINUATION,1
80369.5,2.9526499999999998,-2.94141,2.9885121457489876,0.5266483033166051,10,TRANSITION_ZONE,TRANSITION_ZONE,TRANSITION_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,2
80361.66,1.55195,-1.49251,0.9556342364532019,0.16650021219061864,50,LOW_STATISTICAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
80344.83,2.38937,-2.26055,23.197766990291264,3.1379971533698927,10,TRANSITION_ZONE,NORMAL_ZONE,NORMAL_ZONE,NORMAL_ZONE,DOWN,CONTINUATION,2
80350.0,2.52157,0.5398700000000001,1.6226319176319177,0.2259631729970854,20,TRANSITION_ZONE,NORMAL_ZONE,TRANSITION_ZONE,NORMAL_ZONE,DOWN,COMPRESSION,0
