best_bid_price,best_bid_size,best_ask_price,best_ask_size,spread,total_bid_volume,total_ask_volume,imbalance
81567.38,3.6255,81567.39,1.31828,0.00999999999476131,3.6298600000000003,1.3315599999999999,0.463234315982118
81567.38,3.6255,81567.39,1.31814,0.00999999999476131,3.6298600000000003,1.33149,0.46325496084735
81567.38,3.6255,81567.39,1.31814,0.00999999999476131,3.6298600000000003,1.32231,0.4659674445748025
81567.38,3.6255,81567.39,1.048,0.00999999999476131,3.6298600000000003,1.05224,0.5505264731637514
81567.38,3.62564,81567.39,1.04807,0.00999999999476131,3.6300000000000003,1.05231,0.5505167321258098
81567.38,3.62585,81567.39,1.31793,0.00999999999476131,3.63021,1.32203,0.46608807327593177
81567.38,3.62702,81567.39,1.31793,0.00999999999476131,3.63138,1.32203,0.46621418376431595
81567.38,3.63284,81567.39,1.31793,0.00999999999476131,3.6376899999999996,1.4285,0.4360653666759438
81567.38,3.63228,81567.39,1.318,0.00999999999476131,3.6369200000000004,1.3221,0.4667898092768329
81567.38,3.63228,81567.39,1.318,0.00999999999476131,3.6369200000000004,1.3221,0.4667898092768329
81567.38,3.63245,81567.39,1.31807,0.00999999999476131,3.63716,1.32217,0.4667949097962829
81567.38,3.63238,81567.39,1.31807,0.00999999999476131,3.63702,1.32217,0.4667798571944208
81567.38,3.63301,81567.39,1.31807,0.00999999999476131,3.63786,1.32217,0.4668701600595158
81567.38,3.63301,81567.39,1.31807,0.00999999999476131,3.63786,1.5646900000000001,0.3984911245446943
81567.38,2.99179,81567.39,1.82719,0.00999999999476131,2.9966399999999997,1.83136,0.2413587406793703
81567.38,2.99172,81567.39,1.93945,0.00999999999476131,2.9965699999999997,1.94362,0.21313957560336746
81567.38,2.98623,81567.39,1.93945,0.00999999999476131,2.9910799999999997,1.94362,0.2122641700609966
81567.38,2.98623,81567.39,1.93959,0.00999999999476131,2.9872199999999998,1.94383,0.2115959075653258
81567.38,2.98623,81567.39,1.93952,0.00999999999476131,2.9872199999999998,1.94376,0.21161310733363345
81567.38,2.98623,81567.39,1.93952,0.00999999999476131,2.9872199999999998,1.94376,0.21161310733363345
81567.38,2.9789,81567.39,1.93952,0.00999999999476131,2.9798899999999997,1.94376,0.2104394097874544
81567.38,2.9789,81567.39,1.93952,0.00999999999476131,2.9798899999999997,1.94376,0.2104394097874544
81567.38,2.9782,81567.39,1.91489,0.00999999999476131,2.97919,1.91913,0.21641297424423067
81567.38,2.9782,81567.39,1.91489,0.00999999999476131,2.97919,1.91913,0.21641297424423067
81567.38,2.9782,81567.39,1.91489,0.00999999999476131,2.97919,1.91913,0.21641297424423067
81567.38,2.9782,81567.39,1.91489,0.00999999999476131,2.97919,1.91913,0.21641297424423067
81567.38,2.9782,81567.39,1.90672,0.00999999999476131,2.97919,1.91096,0.21844524196599285
81567.38,2.97295,81567.39,1.90672,0.00999999999476131,2.97394,1.91096,0.21760527339351876
81564.94,0.00063,81564.95,4.37795,0.00999999999476131,0.00119,7.06164,-0.9996630245949569
81560.07,0.00169,81560.08,4.3891,0.00999999999476131,0.00893,5.01878,-0.9964476869190942
81556.34,0.27459,81556.35,5.74386,0.010000000009313226,0.279,5.78818,-0.9080297601191988
81556.34,0.54938,81556.35,4.88032,0.010000000009313226,0.88656,4.88501,-0.6927837659423692
81556.34,0.54945,81556.35,4.88818,0.010000000009313226,0.83085,4.89287,-0.709681815322902
81556.34,0.54952,81556.35,4.88818,0.010000000009313226,0.55411,4.89287,-0.7965441400555906
81556.34,0.2751,81556.35,4.88811,0.010000000009313226,0.27948,4.8928,-0.8919316046308396
81556.34,0.27503,81556.35,4.88389,0.010000000009313226,0.39004,4.88858,-0.8522189511652667
81556.34,0.2751,81556.35,4.88548,0.010000000009313226,0.39018,4.89616,-0.8523817991275627
81556.34,0.2751,81556.35,4.89989,0.010000000009313226,0.36195,4.91064,-0.8627050462865498
81556.34,0.27496,81556.35,4.89989,0.010000000009313226,0.36195,4.91064,-0.8627050462865498
81556.34,0.27496,81556.35,4.89989,0.010000000009313226,0.36195,4.91064,-0.8627050462865498
81556.34,0.27506,81556.35,4.89989,0.010000000009313226,0.36212000000000005,4.91064,-0.8626449904793695
